OrderID,OrderDate,CustomerID,ProductID,Region,Quantity,Discount,DeliveryDays,Rating
O00001,27-06-2025,C0454,P003,West,5,0,1,5
O00002,01-07-2025,C0188,P009,East,7,0,4,1
O00003,16-10-2024,C0014,P008,East,2,0,4,4
O00004,28-07-2024,C0285,P005,South,8,20,1,4
O00005,29-01-2024,C0216,P002,West,5,0,6,1
O00006,07-09-2025,C0032,P004,North,3,0,7,5
O00007,26-05-2024,C0139,P006,North,5,10,4,5
O00008,03-04-2024,C0180,P003,West,9,5,6,4
O00009,06-04-2025,C0115,P008,North,6,10,4,3
O00010,10-04-2024,C0462,P003,East,5,15,3,1
O00011,27-08-2025,C0308,P009,East,5,15,7,2
O00012,11-03-2024,C0041,P008,North,3,10,3,4
O00013,25-08-2025,C0381,P009,South,4,20,6,5
O00014,07-11-2025,C0031,P008,West,6,0,6,4
O00015,15-08-2025,C0278,P004,South,9,20,7,4
O00016,18-06-2024,C0440,P009,North,8,0,3,4
O00017,16-06-2025,C0086,P010,North,2,15,4,3
O00018,23-09-2025,C0181,P007,East,4,10,5,5
O00019,19-08-2025,C0389,P002,North,10,10,7,5
O00020,31-01-2024,C0106,P005,West,3,20,4,5
O00021,03-09-2025,C0231,P009,East,7,0,2,1
O00022,12-01-2024,C0253,P008,West,5,0,2,5
O00023,20-06-2025,C0294,P003,East,10,20,4,5
O00024,30-06-2025,C0106,P010,North,1,0,3,1
O00025,18-09-2025,C0447,P002,East,10,0,1,5
O00026,30-08-2024,C0340,P004,North,6,15,2,1
O00027,29-11-2025,C0038,P009,South,1,10,7,4
O00028,02-09-2025,C0190,P002,North,7,10,3,2
O00029,19-03-2024,C0143,P010,North,3,20,6,4
O00030,29-04-2024,C0172,P003,West,9,20,5,2
O00031,20-09-2024,C0039,P010,North,1,20,3,1
O00032,22-04-2024,C0056,P005,South,1,0,4,4
O00033,08-07-2025,C0153,P006,West,1,5,7,1
O00034,08-08-2024,C0366,P004,East,4,20,4,2
O00035,04-07-2025,C0014,P008,South,9,5,1,1
O00036,14-05-2024,C0089,P004,South,8,0,3,2
O00037,11-01-2024,C0419,P004,East,5,10,6,5
O00038,09-12-2025,C0185,P001,North,9,10,6,3
O00039,08-03-2025,C0443,P004,South,3,10,3,1
O00040,02-02-2024,C0269,P008,South,1,20,2,4
O00041,27-11-2024,C0089,P007,West,9,5,4,3
O00042,17-09-2025,C0285,P003,North,8,0,6,4
O00043,13-11-2025,C0318,P004,East,4,10,2,5
O00044,02-05-2024,C0231,P002,West,8,5,3,4
O00045,03-02-2024,C0350,P004,North,3,20,1,3
